38 42 0.003 
38 45 0.18 
38 51 1.07 
40 28 0.27 
40 45 0.03 
40 47 0.38 
40 51 0.27 
42 28 0.09 
42 51 0.016 
49 6 21.44 
50 7 0.8 
50 51 9.8838 
51 12 201.3 
-1 
