Calvi Bay _ 473 ,   bay/fjord ,  WetWeight ,  BOX(8.69308 42.5339,8.821139 42.59964) ,  Pinnegar J.K.,Polunin N.V.C.(2004). Predicting indirect effects of fishing in Mediterranean rocky littoral communities using a dynamic simulation model Ecological Modelling. pp 249-267   
27 26 
Cephalopods 
Sea Birds 
Piscivores 
M-carnivores 
Inv. Feeders 1 
Inv. Feeders 2 
Inv. Feeders 3 
D. puntazzo 
Inv. Feeders 4 
Blennies 
Herb. Fish 
Plankt. Fish 
Mugil spp. 
Pel. Bacteria 
Zooplankton 
Macro-Plankton 
Protozoa 
Susp. Feeders 
Echinoderms 
Ot. Crustacea 
Amphipods 
Decapods 
Polychaetes 
Gastropods 
Phytoplankton PrimProd 
Macroalgae PrimProd 
24 27 318.1954 
25 13 0.1418916 
25 15 253.4953 
25 17 85.65988 
25 18 126.7 
25 20 16.65378 
25 23 92.56105 
25 27 30.27431 
26 4 0.01325932 
26 5 7.664614 
26 6 1.10486 
26 7 2.029858 
26 8 0.9991878 
26 9 0.000796716 
26 10 2.333772 
26 11 37.73301 
26 13 0.03153146 
26 16 0.26075 
26 19 132.3344 
26 20 410.7932 
26 21 232.6757 
26 22 29.28214 
26 23 198.3451 
26 24 395.0302 
26 27 76.34907 
27 9 0.0597537 
27 11 0.6269835 
27 14 1662.531 
27 17 128.4898 
27 18 91.7 
27 19 13.92993 
27 20 19.42941 
27 21 170.7839 
27 22 76.69134 
27 23 550.0772 
27 24 199.775 
-1 
